lane,length
52_1,187.07
52_2,187.07
53.4_0,199.52
53.4_1,199.52
53.4_2,199.52
54[0]_0,201.88
54[0]_1,201.88
54[1]_0,255.93
54[1]_1,255.93
55[0]_0,136.03
55[0]_1,136.03
55[0]_2,136.03
55[1]_0,377.78
55[1]_1,377.78
55[1]_2,377.78
56.0.16_0,205.86
56.0.16_1,205.86
57_0,206.11
57_1,206.11
58_0,404.82
58_1,404.82
59_0,376.79
59_1,376.79
59_2,376.79
5_0,90.88
5_1,90.88
60_0,122.6
61_0,122.5
61_1,122.5
62_0,291.99
63_0,291.62
64_0,252.05
66.10_0,344.55
66.10_1,344.55
67.1_0,397.41
67.1_1,397.41
68_0,451.12
68_1,451.12
69_0,52.05
69_1,52.05
6_0,382.7
6_1,382.7
6_2,382.7
6_3,382.7
6_4,382.7
7.0.20_0,382.29
7.0.20_1,382.29
7.0.20_2,382.29
7.0.20_3,382.29
7.0.20_4,382.29
70_0,267.95
71_0,271.91
72_0,182.76
73_0,217.27
73_1,217.27
74_0,681.68
74_1,681.68
75_0,91.23
75_1,91.23
75_2,91.23
76_0,681.17
76_1,681.17
77_0,67.85
77_1,67.85
78_0,66.86
78_1,66.86
79_0,258.86
79_1,258.86
8.0.2.13_0,360.99
8.0.2.13_1,360.99
8.0.2.13_2,360.99
8.0.2.13_3,360.99
80_0,257.94
80_1,257.94
81_0,76.58
81_1,76.58
81_2,76.58
82_0,115.42
82_1,115.42
82_2,115.42
83_0,74.8
83_1,74.8
83_2,74.8
84_0,110.14
84_1,110.14
84_2,110.14
85_0,101.69
85_1,101.69
85_2,101.69
86[0]_0,140.39
86[0]_1,140.39
86[0]_2,140.39
86[1][1]_0,170.72
86[1][1]_1,170.72
86[1][1]_2,170.72
87_0,134.43
87_1,134.43
88_0,134.94
88_1,134.94
90_0,367.85
90_1,367.85
91_0,364.45
91_1,364.45
92_0,364.55
92_1,364.55
93_0,72.05
93_1,72.05
93_2,72.05
94_0,71.23
94_1,71.23
94_2,71.23
95_0,365.67
95_1,365.67
96_0,163.39
96_1,163.39
97_0,318.12
97_1,318.12
98_0,152.23
98_1,152.23
99_0,334.12
9_0,425.77
9_1,425.77
9_2,425.77
9_3,425.77
:11_0_0,6.6
:11_0_1,6.6
:11_0_2,6.6
:11_0_3,6.6
:157-end_0_0,40.44
:157-end_0_1,40.44
:157-end_2_0,40.33
:157-end_2_1,40.33
:157-end_2_2,40.33
:158-begin_0_0,19.38
:158-begin_0_1,19.38
:158-begin_2_0,15.95
:158-begin_2_1,15.95
:18_0_0,57.29
:18_1_0,32.07
:18_1_1,32.07
:18_3_0,28.84
:18_3_1,28.84
:1_0_0,7.0
:1_0_1,7.0
:20_0_0,14.68
:20_0_1,14.68
:20_0_2,14.68
:20_0_3,14.68
:20_4_0,14.92
:20_4_1,12.15
:22_0_0,8.17
:22_1_0,9.24
:22_1_1,9.24
:38_0_0,16.27
:38_0_1,16.27
:38_0_2,16.27
:38_3_0,24.13
:38_4_0,16.28
:38_5_0,21.28
:38_5_1,20.17
:3_0_0,4.19
:3_0_1,4.19
:40_0_0,8.06
:40_0_1,11.48
:40_2_0,11.01
:40_2_1,11.01
:41_0_0,34.14
