lane,length
:tl_30_5_0,34.85
:tl_30_6_0,21.57
:tl_30_6_1,21.57
:tl_30_6_2,21.57
:tl_31_0_0,17.64
:tl_31_0_1,17.64
:tl_31_0_2,17.64
:tl_31_3_0,33.6
:tl_31_3_1,39.16
:tl_31_5_0,4.97
:tl_31_6_0,20.49
:tl_31_6_1,20.49
:tl_31_6_2,20.49
:tl_31_9_0,4.77
:tl_3_0_0,35.51
:tl_3_0_1,35.51
:tl_3_0_2,35.51
:tl_3_0_3,35.51
:tl_3_10_0,25.8
:tl_3_10_1,25.8
:tl_3_12_0,4.02
:tl_3_4_0,56.74
:tl_3_4_1,56.74
:tl_3_6_0,59.12
:tl_3_6_1,59.12
:tl_3_6_2,59.12
:tl_3_9_0,22.19
:tl_4_0_0,10.47
:tl_4_0_1,10.47
:tl_4_0_2,10.47
:tl_4_0_3,10.47
:tl_4_4_0,9.21
:tl_4_4_1,12.04
:tl_4_4_2,14.44
:tl_5_0_0,22.41
:tl_5_0_1,22.41
:tl_5_0_2,22.41
:tl_5_10_0,15.48
:tl_5_3_0,15.48
:tl_5_4_0,21.64
:tl_5_4_1,21.64
:tl_5_4_2,21.64
:tl_5_7_0,37.02
:tl_5_8_0,19.24
:tl_5_8_1,13.21
:tl_6_0_0,77.18
:tl_6_1_0,77.68
:tl_6_2_0,65.85
:tl_6_2_1,65.85
:tl_6_4_0,80.0
:tl_6_5_0,63.37
:tl_6_6_0,68.4
:tl_6_7_0,75.18
:tl_6_7_1,75.18
:tl_6_9_0,37.17
:tl_7_0_0,27.64
:tl_7_0_1,27.64
:tl_7_0_2,27.64
:tl_7_0_3,27.64
:tl_7_13_0,14.01
:tl_7_14_0,46.73
:tl_7_14_1,46.73
:tl_7_16_0,14.12
:tl_7_16_1,11.75
:tl_7_4_0,12.68
:tl_7_5_0,46.59
:tl_7_5_1,46.59
:tl_7_7_0,13.0
:tl_7_8_0,28.02
:tl_7_8_1,28.02
:tl_7_8_2,28.02
:tl_7_8_3,28.02
:tl_7_8_4,28.02
:tl_8_0_0,17.0
:tl_8_1_0,21.8
:tl_8_1_1,21.8
:tl_8_3_0,13.56
:tl_8_4_0,22.5
:tl_8_4_1,22.5
:tl_8_6_0,8.64
:tl_8_7_0,10.71
:tl_8_7_1,9.75
:tl_8_9_0,4.41
:tl_9_0_0,48.0
:tl_9_11_0,47.1
:tl_9_12_0,38.46
:tl_9_13_0,28.54
:tl_9_14_0,3.9
:tl_9_1_0,38.54
:tl_9_2_0,14.76
:tl_9_3_0,21.91
:tl_9_4_0,44.93
:tl_9_5_0,8.46
:tl_9_6_0,51.41
:tl_9_7_0,41.83
:tl_9_8_0,7.5
:tl_9_9_0,24.88
:tl_9_9_1,27.52
E0.221_0,49.38
E0.221_1,49.38
E0_0,150.35
E0_1,150.35
E0_2,150.35
E10_0,127.91
E10_1,127.91
E11_0,0.22
E11_1,0.22
E12_0,11.7
E12_1,11.7
E13_0,10.82
E13_1,10.82
E15_0,22.42
E18_0,13.82
E18_1,13.82
E19_0,10.54
E19_1,10.54
E19_2,10.54
E1_0,379.01
E1_1,379.01
E2.444_0,147.68
E2.444_1,147.68
E20_0,14.96
E21_0,13.68
E2_0,468.77
E2_1,468.77
E3_0,734.36
E3_1,734.36
E4.10_0,35.8
E4.24_0,51.63
E5_0,26.03
E5_1,26.03
E6_0,0.56
E6_1,0.56
E6_2,0.56
E7.29_0,200.5
E7.9_0,15.39
E8.39_0,224.34
E8_0,125.66
E8_1,125.66
gneE10_0,9.55
gneE10_1,9.55
gneE10_2,9.55
gneE126_0,50.86
gneE126_1,50.86
gneE138_0,24.4
gneE138_1,24.4
gneE138_2,24.4
gneE140_0,37.88
gneE140_1,37.88
gneE141_0,438.67
gneE141_1,438.67
gneE142_0,59.46
gneE142_1,59.46
gneE143_0,7.6
gneE143_1,7.6
gneE144_0,251.49
gneE147_0,13.19
gneE148_0,17.62
gneE148_1,17.62
gneE148_2,17.62
gneE150_0,10.59
gneE150_1,10.59
gneE151_0,10.81
gneE151_1,10.81
gneE153_0,15.91
gneE153_1,15.91
gneE153_2,15.91
gneE154_0,3.22
gneE154_1,3.22
gneE155_0,22.16
gneE156_0,23.96
gneE157_0,2.71
gneE158_0,2.81
gneE159_0,13.86
gneE159_1,13.86
gneE159_2,13.86
gneE159_3,13.86
gneE160_0,13.74
gneE160_1,13.74
gneE160_2,13.74
gneE160_3,13.74
gneE188_0,22.07
gneE188_1,22.07
gneE190_0,11.38
gneE190_1,11.38
gneE199_0,32.42
gneE199_1,32.42
gneE202_0,66.2
gneE202_1,66.2
gneE203_0,59.65
gneE205_0,27.42
gneE208_0,3.87
gneE208_1,3.87
gneE224_0,21.64
gneE226_0,21.79
gneE226_1,21.79
gneE226_2,21.79
gneE227_0,94.38
gneE228_0,92.51
gneE22_0,31.81
gneE22_1,31.81
gneE22_2,31.81
gneE22_3,31.81
gneE230_0,37.24
gneE231_0,83.39
gneE231_1,83.39
gneE233_0,18.48
gneE23_0,28.51
gneE23_1,28.51
gneE251_0,384.25
gneE251_1,384.25
gneE257_0,10.79
gneE257_1,10.79
gneE258_0,10.15
gneE258_1,10.15
gneE271_0,34.7
gneE393_0,83.4
gneE393_1,83.4
gneE394_0,85.86
gneE394_1,85.86
gneE396_0,47.56
gneE396_1,47.56
gneE397_0,11.78
gneE397_1,11.78
gneE401_0,9.35
gneE401_1,9.35
gneE401_2,9.35
gneE401_3,9.35
